brand,end_of_month,seasonality,target_revenue,target_revenue_growth,target_perc_gross_margin,target_gross_margin_eur,target_share_channels
Microsoft,28/02/2022,0.06,"272,193",0.35,0.19,"52,533",0.02
Microsoft,31/03/2022,0.07,"326,132",0.50,0.19,"62,943",0.02
Microsoft,30/04/2022,0.07,"324,338",0.63,0.19,"62,597",0.02
Microsoft,31/05/2022,0.08,"340,053",0.95,0.19,"65,630",0.02
Microsoft,30/06/2022,0.08,"351,472",0.77,0.19,"67,834",0.02
Microsoft,31/07/2022,0.08,"356,331",0.93,0.19,"68,772",0.02
Microsoft,31/08/2022,0.08,"361,208",0.14,0.19,"69,713",0.02
Microsoft,30/09/2022,0.08,"375,751",0.12,0.19,"72,520",0.02
Microsoft,31/10/2022,0.09,"421,381",0.14,0.19,"81,327",0.02
Microsoft,30/11/2022,0.13,"599,460",0.46,0.19,"115,696",0.02
Microsoft,31/12/2022,0.11,"490,436",0.59,0.19,"94,654",0.02
Nikon,31/01/2022,0.07,"251,450",0.78,0.18,"45,764",0.02
Nikon,28/02/2022,0.06,"232,665",0.56,0.18,"42,345",0.02
Nikon,31/03/2022,0.07,"278,771",0.83,0.18,"50,736",0.02
Nikon,30/04/2022,0.07,"277,238",0.61,0.18,"50,457",0.02
Nikon,31/05/2022,0.08,"290,670",0.76,0.18,"52,902",0.02
Nikon,30/06/2022,0.08,"300,431",0.47,0.18,"54,678",0.02
Nikon,31/07/2022,0.08,"304,585",0.34,0.18,"55,434",0.02
Nikon,31/08/2022,0.08,"308,753",0.27,0.18,"56,193",0.02
Nikon,30/09/2022,0.08,"321,185",0.30,0.18,"58,456",0.02
Nikon,31/10/2022,0.09,"360,188",0.52,0.18,"65,554",0.02
Nikon,30/11/2022,0.13,"512,406",0.41,0.18,"93,258",0.02
Nikon,31/12/2022,0.11,"419,215",0.54,0.18,"76,297",0.02
OnePlus,31/01/2022,0.07,"94,108",0.12,0.19,"18,163",0.01
OnePlus,28/02/2022,0.06,"87,078",1.15,0.19,"16,806",0.01
OnePlus,31/03/2022,0.07,"104,333",0.73,0.19,"20,136",0.01
OnePlus,30/04/2022,0.07,"103,759",1.58,0.19,"20,026",0.01
OnePlus,31/05/2022,0.08,"108,787",1.58,0.19,"20,996",0.01
OnePlus,30/06/2022,0.08,"112,440",0.48,0.19,"21,701",0.01
OnePlus,31/07/2022,0.08,"113,994",-0.23,0.19,"22,001",0.01
OnePlus,31/08/2022,0.08,"115,554",0.02,0.19,"22,302",0.01
OnePlus,30/09/2022,0.08,"120,207",0.00,0.19,"23,200",0.01
OnePlus,31/10/2022,0.09,"134,804",0.29,0.19,"26,017",0.01
OnePlus,30/11/2022,0.13,"191,774",0.67,0.19,"37,012",0.01
OnePlus,31/12/2022,0.11,"156,896",0.82,0.19,"30,281",0.01
other,31/01/2022,0.07,"840,771",1.34,0.22,"185,797",0.07
other,28/02/2022,0.06,"777,960",1.06,0.22,"172,107",0.07
other,31/03/2022,0.07,"932,123",1.21,0.22,"208,166",0.07
other,30/04/2022,0.07,"926,997",1.58,0.22,"206,818",0.07
other,31/05/2022,0.08,"971,910",1.14,0.22,"217,147",0.07
other,30/06/2022,0.08,"1,004,549",1.24,0.22,"224,718",0.07
other,31/07/2022,0.08,"1,018,436",0.82,0.22,"227,919",0.07
other,31/08/2022,0.08,"1,032,375",0.83,0.22,"231,156",0.07
other,30/09/2022,0.08,"1,073,941",0.67,0.22,"239,186",0.07
other,31/10/2022,0.09,"1,204,357",1.13,0.22,"268,530",0.07
other,30/11/2022,0.13,"1,713,326",1.24,0.22,"382,862",0.07
other,31/12/2022,0.11,"1,401,723",1.38,0.22,"311,994",0.07
Samsung,31/01/2022,0.07,"2,866,872",1.11,0.18,"504,569",0.24
Samsung,28/02/2022,0.06,"2,652,700",0.36,0.18,"466,875",0.24
Samsung,31/03/2022,0.07,"3,178,365",0.49,0.18,"559,392",0.24
Samsung,30/04/2022,0.07,"3,160,886",0.80,0.18,"556,316",0.24
Samsung,31/05/2022,0.08,"3,314,031",0.81,0.18,"583,270",0.24
Samsung,30/06/2022,0.08,"3,425,324",0.73,0.18,"602,857",0.24
Samsung,31/07/2022,0.08,"3,472,676",0.75,0.18,"611,191",0.24
Samsung,31/08/2022,0.08,"3,520,207",0.72,0.18,"619,556",0.24
Samsung,30/09/2022,0.08,"3,661,938",0.81,0.18,"644,501",0.24
Samsung,31/10/2022,0.09,"4,106,631",0.99,0.18,"722,767",0.24
Samsung,30/11/2022,0.13,"5,842,122",0.93,0.18,"1,028,213",0.24
Samsung,31/12/2022,0.11,"4,779,615",1.10,0.18,"841,212",0.24
Sony,31/01/2022,0.07,"678,763",0.57,0.19,"130,322",0.06
Sony,28/02/2022,0.06,"628,055",1.15,0.19,"120,587",0.06
Sony,31/03/2022,0.07,"752,512",0.65,0.19,"144,482",0.06
Sony,30/04/2022,0.07,"748,374",0.45,0.19,"143,688",0.06
Sony,31/05/2022,0.08,"784,633",0.52,0.19,"150,649",0.06
Sony,30/06/2022,0.08,"810,982",0.35,0.19,"155,709",0.06
Sony,31/07/2022,0.08,"822,194",0.21,0.19,"157,861",0.06
Sony,31/08/2022,0.08,"833,447",-0.57,0.19,"160,022",0.06
Sony,30/09/2022,0.08,"867,003",-0.53,0.19,"166,465",0.06
Sony,31/10/2022,0.09,"972,289",-0.27,0.19,"186,680",0.06
Sony,30/11/2022,0.13,"1,383,185",-0.45,0.19,"265,572",0.06
Sony,31/12/2022,0.11,"1,131,626",-0.40,0.19,"217,272",0.06
Xiaomi,31/01/2022,0.07,"85,226",-0.30,0.25,"21,392",0.01
Xiaomi,28/02/2022,0.06,"78,859",0.01,0.25,"19,794",0.01
Xiaomi,31/03/2022,0.07,"94,486",0.13,0.25,"23,716",0.01
Xiaomi,30/04/2022,0.07,"93,967",0.32,0.25,"23,586",0.01
Xiaomi,31/05/2022,0.08,"98,519",0.14,0.25,"24,728",0.01
Xiaomi,30/06/2022,0.08,"101,828",0.39,0.25,"25,559",0.01
Xiaomi,31/07/2022,0.08,"103,236",0.18,0.25,"25,912",0.01
Xiaomi,31/08/2022,0.08,"104,649",0.00,0.25,"26,267",0.01
Xiaomi,30/09/2022,0.08,"108,862",0.04,0.25,"27,324",0.01
Xiaomi,31/10/2022,0.09,"122,082",0.57,0.25,"30,643",0.01
Xiaomi,30/11/2022,0.13,"173,674",0.52,0.25,"43,592",0.01
Xiaomi,31/12/2022,0.11,"142,088",0.65,0.25,"35,664",0.01
