category,end_of_month,seasonality,target_revenue,target_revenue_growth,target_perc_gross_margin,target_gross_margin_eur,target_share_channels
Digitalkameras,31/03/2022,0.07,"1,109,225.92",0.70,0.18,"  199,661 ",0.08
Grafikkarten,31/03/2022,0.07,"14,822.39",0.03,0.25,"  3,706 ",0.00
Handys,31/03/2022,0.07,"7,296,629.81",0.22,0.18,"  1,335,283 ",0.55
Konsolen,31/03/2022,0.07,"305,555.80",1.31,0.25,"  76,389 ",0.02
Notebooks,31/03/2022,0.07,"121,532.73",0.86,0.16,"  19,445 ",0.01
Objektive,31/03/2022,0.07,"691,206.93",0.99,0.22,"  152,066 ",0.05
Other or new,31/03/2022,0.07,"169,677.31",1.00,0.28,"  47,030 ",0.01
Smartwatches,31/03/2022,0.07,"130,406.86",0.39,0.30,"  39,122 ",0.01
Tablets,31/03/2022,0.07,"1,608,045.57",0.52,0.18,"  289,448 ",0.12
Virtual Reality,31/03/2022,0.07,0.00,-1.00,0.50,,0.00
Zubehoer,31/03/2022,0.07,"315,389.64",-0.74,0.15,"  47,308 ",0.02
Apple Displays,30/04/2022,0.07,"1,623.85",-0.39,0.28,  455 ,0.00
Apple MacBooks,30/04/2022,0.07,"1,199,985.85",0.55,0.18,"  215,997 ",0.09
Apple Macs,30/04/2022,0.07,"194,658.91",0.95,0.18,"  35,039 ",0.01
Audio & HiFi,30/04/2022,0.07,"121,566.95",0.38,0.25,"  30,392 ",0.01
Blitzgeräte,30/04/2022,0.07,"7,249.01",1.38,0.40,"  2,900 ",0.00
Camcorder,30/04/2022,0.07,"56,270.86",0.26,0.18,"  10,129 ",0.00
Digitalkameras,30/04/2022,0.07,"1,094,236.38",0.56,0.18,"  196,963 ",0.08
Grafikkarten,30/04/2022,0.07,"14,622.09",5.09,0.25,"  3,656 ",0.00
Handys,30/04/2022,0.07,"7,198,026.70",0.48,0.18,"  1,317,239 ",0.54
Konsolen,30/04/2022,0.07,"301,426.67",1.78,0.25,"  75,357 ",0.02
Notebooks,30/04/2022,0.07,"119,890.40",1.27,0.16,"  19,182 ",0.01
Objektive,30/04/2022,0.07,"681,866.30",0.73,0.22,"  150,011 ",0.05
Other or new,30/04/2022,0.07,"274,499.24",1.00,0.24,"  66,295 ",0.02
Smartwatches,30/04/2022,0.07,"128,644.60",0.54,0.30,"  38,593 ",0.01
Tablets,30/04/2022,0.07,"1,586,315.22",0.66,0.18,"  285,537 ",0.12
Virtual Reality,30/04/2022,0.07,0.00,-1.00,0.50,,0.00
Zubehoer,30/04/2022,0.07,"311,127.62",-0.62,0.15,"  46,669 ",0.02
Apple Displays,31/05/2022,0.08,"1,690.58",-0.43,0.28,  473 ,0.00
Apple MacBooks,31/05/2022,0.08,"1,249,300.33",0.68,0.18,"  224,874 ",0.09
Apple Macs,31/05/2022,0.08,"202,658.59",0.64,0.18,"  36,479 ",0.01
Audio & HiFi,31/05/2022,0.08,"126,562.86",0.16,0.25,"  31,641 ",0.01
Blitzgeräte,31/05/2022,0.08,"7,546.91",1.07,0.40,"  3,019 ",0.00
Camcorder,31/05/2022,0.08,"58,583.37",0.24,0.18,"  10,545 ",0.00
Digitalkameras,31/05/2022,0.08,"1,139,205.00",0.57,0.18,"  205,057 ",0.08
Grafikkarten,31/05/2022,0.08,"15,223.00",2.92,0.25,"  3,806 ",0.00
Handys,31/05/2022,0.08,"7,493,836.02",0.42,0.18,"  1,371,372 ",0.54
Konsolen,31/05/2022,0.08,"313,814.06",2.35,0.25,"  78,454 ",0.02
Notebooks,31/05/2022,0.08,"124,817.40",2.17,0.16,"  19,971 ",0.01
Objektive,31/05/2022,0.08,"709,888.20",0.50,0.22,"  156,175 ",0.05
Other or new,31/05/2022,0.08,"383,533.45",1.00,0.23,"  87,672 ",0.03
Smartwatches,31/05/2022,0.08,"133,931.37",0.60,0.30,"  40,179 ",0.01
Tablets,31/05/2022,0.08,"1,651,506.26",0.79,0.18,"  297,271 ",0.12
Virtual Reality,31/05/2022,0.08,0.00,-1.00,0.50,,0.00
Zubehoer,31/05/2022,0.08,"323,913.69",3.00,0.15,"  48,587 ",0.02
Apple Displays,30/06/2022,0.08,"1,735.07",0.76,0.28,  486 ,0.00
Apple MacBooks,30/06/2022,0.08,"1,282,176.66",0.74,0.18,"  230,792 ",0.09
Apple Macs,30/06/2022,0.08,"207,991.71",1.05,0.18,"  37,439 ",0.01
Audio & HiFi,30/06/2022,0.08,"129,893.46",0.14,0.25,"  32,473 ",0.01
Blitzgeräte,30/06/2022,0.08,"7,745.51",0.67,0.40,"  3,098 ",0.00
Camcorder,30/06/2022,0.08,"60,125.03",0.62,0.18,"  10,823 ",0.00
Digitalkameras,30/06/2022,0.08,"1,169,184.08",0.32,0.18,"  210,453 ",0.08
Grafikkarten,30/06/2022,0.08,"15,623.60",3.27,0.25,"  3,906 ",0.00
Handys,30/06/2022,0.08,"7,691,042.23",0.26,0.18,"  1,407,461 ",0.53
Konsolen,30/06/2022,0.08,"322,072.33",1.29,0.25,"  80,518 ",0.02
Notebooks,30/06/2022,0.08,"128,102.07",3.46,0.16,"  20,496 ",0.01
Objektive,30/06/2022,0.08,"728,569.47",0.56,0.22,"  160,285 ",0.05
Other or new,30/06/2022,0.08,"494,889.60",1.00,0.22,"  109,264 ",0.03
Smartwatches,30/06/2022,0.08,"137,455.87",0.91,0.30,"  41,237 ",0.01
Tablets,30/06/2022,0.08,"1,694,966.95",0.94,0.18,"  305,094 ",0.12
Virtual Reality,30/06/2022,0.08,0.00,-1.00,0.50,,0.00
Zubehoer,30/06/2022,0.08,"332,437.73",7.34,0.15,"  49,866 ",0.02
Apple Displays,31/07/2022,0.08,"1,746.19",0.73,0.28,  489 ,0.00
Apple MacBooks,31/07/2022,0.08,"1,290,395.74",0.33,0.18,"  232,271 ",0.09
Apple Macs,31/07/2022,0.08,"209,324.99",0.43,0.18,"  37,678 ",0.01
Audio & HiFi,31/07/2022,0.08,"130,726.11",0.19,0.25,"  32,682 ",0.01
Blitzgeräte,31/07/2022,0.08,"7,795.16",0.14,0.40,"  3,118 ",0.00
Camcorder,31/07/2022,0.08,"60,510.45",-0.10,0.18,"  10,892 ",0.00
Digitalkameras,31/07/2022,0.08,"1,176,678.85",0.32,0.18,"  211,802 ",0.08
Grafikkarten,31/07/2022,0.08,"15,723.75",1.67,0.25,"  3,931 ",0.00
Handys,31/07/2022,0.08,"7,740,343.78",0.15,0.18,"  1,416,483 ",0.53
Konsolen,31/07/2022,0.08,"324,136.90",0.43,0.25,"  81,034 ",0.02
Notebooks,31/07/2022,0.08,"128,923.24",2.38,0.16,"  20,628 ",0.01
Objektive,31/07/2022,0.08,"733,239.79",0.36,0.22,"  161,313 ",0.05
Other or new,31/07/2022,0.08,"604,853.63",1.00,0.22,"  130,104 ",0.04
Smartwatches,31/07/2022,0.08,"138,337.00",1.71,0.30,"  41,501 ",0.01
Tablets,31/07/2022,0.08,"1,705,832.12",0.78,0.18,"  307,050 ",0.12
Virtual Reality,31/07/2022,0.08,0.00,-1.00,0.50,,0.00
Zubehoer,31/07/2022,0.08,"334,568.74",8.05,0.15,"  50,185 ",0.02
Apple Displays,31/08/2022,0.08,"1,757.32",2.70,0.28,  492 ,0.00
Apple MacBooks,31/08/2022,0.08,"1,298,614.82",0.29,0.18,"  233,751 ",0.09
Apple Macs,31/08/2022,0.08,"210,658.27",0.34,0.18,"  37,918 ",0.01
Audio & HiFi,31/08/2022,0.08,"131,558.76",0.75,0.25,"  32,890 ",0.01
Blitzgeräte,31/08/2022,0.08,"7,844.81",0.98,0.40,"  3,138 ",0.00
Camcorder,31/08/2022,0.08,"60,895.87",0.04,0.18,"  10,961 ",0.00
Digitalkameras,31/08/2022,0.08,"1,184,173.62",0.10,0.18,"  213,151 ",0.08
Grafikkarten,31/08/2022,0.08,"15,823.91",-0.14,0.25,"  3,956 ",0.00
Handys,31/08/2022,0.08,"7,789,645.34",0.14,0.18,"  1,425,505 ",0.53
Konsolen,31/08/2022,0.08,"326,201.46",-0.78,0.25,"  81,550 ",0.02
Notebooks,31/08/2022,0.08,"129,744.40",2.13,0.16,"  20,759 ",0.01
Objektive,31/08/2022,0.08,"737,910.10",0.26,0.22,"  162,340 ",0.05
Other or new,31/08/2022,0.08,"715,567.67",1.00,0.21,"  151,110 ",0.05
Smartwatches,31/08/2022,0.08,"139,218.13",0.78,0.30,"  41,765 ",0.01
Tablets,31/08/2022,0.08,"1,716,697.29",0.22,0.18,"  309,006 ",0.12
Virtual Reality,31/08/2022,0.08,0.00,-1.00,0.50,,0.00
Zubehoer,31/08/2022,0.08,"336,699.76",3.60,0.15,"  50,505 ",0.02
Apple Displays,30/09/2022,0.08,"1,824.05",3.18,0.28,  511 ,0.00
Apple MacBooks,30/09/2022,0.08,"1,347,929.31",0.27,0.18,"  242,627 ",0.09
Apple Macs,30/09/2022,0.08,"218,657.95",0.37,0.18,"  39,358 ",0.01
Audio & HiFi,30/09/2022,0.08,"136,554.66",0.44,0.25,"  34,139 ",0.01
Blitzgeräte,30/09/2022,0.08,"8,142.72",-0.15,0.40,"  3,257 ",0.00
Camcorder,30/09/2022,0.08,"63,208.37",-0.07,0.18,"  11,378 ",0.00
Digitalkameras,30/09/2022,0.08,"1,229,142.24",0.21,0.18,"  221,246 ",0.08
Grafikkarten,30/09/2022,0.08,"16,424.81",0.20,0.25,"  4,106 ",0.00
Handys,30/09/2022,0.08,"8,085,454.65",0.48,0.18,"  1,479,638 ",0.53
Konsolen,30/09/2022,0.08,"338,588.86",-0.77,0.25,"  84,647 ",0.02
Notebooks,30/09/2022,0.08,"134,671.41",2.50,0.16,"  21,547 ",0.01
Objektive,30/09/2022,0.08,"765,932.01",0.09,0.22,"  168,505 ",0.05
Other or new,30/09/2022,0.08,"776,601.88",1.00,0.21,"  161,927 ",0.05
Smartwatches,30/09/2022,0.08,"144,504.89",0.62,0.30,"  43,351 ",0.01
Tablets,30/09/2022,0.08,"1,781,888.33",0.08,0.18,"  320,740 ",0.12
Virtual Reality,30/09/2022,0.08,0.00,-1.00,0.50,,0.00
Zubehoer,30/09/2022,0.08,"349,485.82",1.87,0.15,"  52,423 ",0.02
Apple Displays,31/10/2022,0.09,"2,046.49",-0.07,0.28,  573 ,0.00
Apple MacBooks,31/10/2022,0.09,"1,512,310.93",0.39,0.18,"  272,216 ",0.09
Apple Macs,31/10/2022,0.09,"245,323.56",0.42,0.18,"  44,158 ",0.01
Audio & HiFi,31/10/2022,0.09,"153,207.67",0.93,0.25,"  38,302 ",0.01
Blitzgeräte,31/10/2022,0.09,"9,135.73",0.17,0.40,"  3,654 ",0.00
Camcorder,31/10/2022,0.09,"70,916.71",0.75,0.18,"  12,765 ",0.00
Digitalkameras,31/10/2022,0.09,"1,379,037.63",0.30,0.18,"  248,227 ",0.08
Grafikkarten,31/10/2022,0.09,"18,427.84",0.39,0.25,"  4,607 ",0.00
Handys,31/10/2022,0.09,"9,071,485.71",0.62,0.18,"  1,660,082 ",0.53
Konsolen,31/10/2022,0.09,"379,880.18",-0.61,0.25,"  94,970 ",0.02
Notebooks,31/10/2022,0.09,"151,094.75",1.79,0.16,"  24,175 ",0.01
Objektive,31/10/2022,0.09,"859,338.35",0.35,0.22,"  189,054 ",0.05
Other or new,31/10/2022,0.09,"863,382.60",1.00,0.21,"  180,485 ",0.05
Smartwatches,31/10/2022,0.09,"162,127.44",1.15,0.30,"  48,638 ",0.01
Tablets,31/10/2022,0.09,"1,999,191.78",0.49,0.18,"  359,855 ",0.12
Virtual Reality,31/10/2022,0.09,0.00,-1.00,0.50,,0.00
Zubehoer,31/10/2022,0.09,"392,106.04",2.42,0.15,"  58,816 ",0.02
Apple Displays,30/11/2022,0.13,"2,914.03",1.00,0.28,  816 ,0.00
Apple MacBooks,30/11/2022,0.13,"2,153,399.26",0.69,0.18,"  387,612 ",0.09
Apple Macs,30/11/2022,0.13,"349,319.42",0.57,0.18,"  62,877 ",0.01
Audio & HiFi,30/11/2022,0.13,"218,154.40",0.62,0.25,"  54,539 ",0.01
Blitzgeräte,30/11/2022,0.13,"13,008.49",0.08,0.40,"  5,203 ",0.00
Camcorder,30/11/2022,0.13,"100,979.22",1.03,0.18,"  18,176 ",0.00
Digitalkameras,30/11/2022,0.13,"1,963,629.67",0.27,0.18,"  353,453 ",0.08
Grafikkarten,30/11/2022,0.13,"26,239.64",1.98,0.25,"  6,560 ",0.00
Handys,30/11/2022,0.13,"12,917,006.83",0.41,0.18,"  2,363,812 ",0.53
Konsolen,30/11/2022,0.13,"540,916.35",-0.72,0.25,"  135,229 ",0.02
Notebooks,30/11/2022,0.13,"215,145.78",5.47,0.16,"  34,423 ",0.01
Objektive,30/11/2022,0.13,"1,223,623.09",0.44,0.22,"  269,197 ",0.05
Other or new,30/11/2022,0.13,"1,206,827.40",20.45,0.21,"  253,612 ",0.05
Smartwatches,30/11/2022,0.13,"230,855.38",-0.13,0.30,"  69,257 ",0.01
Tablets,30/11/2022,0.13,"2,846,675.26",0.09,0.18,"  512,402 ",0.12
Virtual Reality,30/11/2022,0.13,0.00,-1.00,0.50,,0.00
Zubehoer,30/11/2022,0.13,"558,324.91",3.06,0.15,"  83,749 ",0.02
Apple Displays,31/12/2022,0.11,"2,380.16",1.00,0.28,  666 ,0.00
Apple MacBooks,31/12/2022,0.11,"1,758,883.36",0.84,0.18,"  316,599 ",0.09
Apple Macs,31/12/2022,0.11,"285,321.97",0.71,0.18,"  51,358 ",0.01
Audio & HiFi,31/12/2022,0.11,"178,187.18",0.77,0.25,"  44,547 ",0.01
Blitzgeräte,31/12/2022,0.11,"10,625.25",0.18,0.40,"  4,250 ",0.00
Camcorder,31/12/2022,0.11,"82,479.21",1.22,0.18,"  14,846 ",0.00
Digitalkameras,31/12/2022,0.11,"1,603,880.73",0.39,0.18,"  288,699 ",0.08
Grafikkarten,31/12/2022,0.11,"21,432.38",2.25,0.25,"  5,358 ",0.00
Handys,31/12/2022,0.11,"10,550,532.29",0.54,0.18,"  1,930,747 ",0.52
Konsolen,31/12/2022,0.11,"441,817.17",-0.70,0.25,"  110,454 ",0.02
Notebooks,31/12/2022,0.11,"175,729.76",6.07,0.16,"  28,117 ",0.01
Objektive,31/12/2022,0.11,"999,447.86",0.57,0.22,"  219,879 ",0.05
Other or new,31/12/2022,0.11,"1,018,553.68",23.14,0.21,"  212,072 ",0.05
Smartwatches,31/12/2022,0.11,"188,561.26",-0.05,0.30,"  56,568 ",0.01
Tablets,31/12/2022,0.11,"2,325,146.97",0.19,0.18,"  418,526 ",0.12
Virtual Reality,31/12/2022,0.11,0.00,-1.00,0.50,,0.00
Zubehoer,31/12/2022,0.11,"456,036.38",3.44,0.15,"  68,405 ",0.02
